Date,Open,High,Low,Close,Volume
2-Dec-16,4.53,4.56,4.50,4.52,6382650
1-Dec-16,4.55,4.59,4.54,4.58,6221367
30-Nov-16,4.51,4.55,4.50,4.52,4276541
29-Nov-16,4.47,4.51,4.44,4.48,5383333
28-Nov-16,4.46,4.48,4.40,4.41,4708096
25-Nov-16,4.49,4.51,4.48,4.50,1592841
23-Nov-16,4.52,4.56,4.50,4.53,3108919
22-Nov-16,4.58,4.58,4.53,4.57,3177041
21-Nov-16,4.50,4.52,4.48,4.52,3887205
18-Nov-16,4.50,4.50,4.46,4.48,3590684
17-Nov-16,4.59,4.62,4.55,4.58,2792776
16-Nov-16,4.58,4.62,4.54,4.58,6730197
15-Nov-16,4.61,4.69,4.58,4.69,5266303
14-Nov-16,4.57,4.64,4.55,4.60,8280824
11-Nov-16,4.61,4.62,4.53,4.59,9547211
10-Nov-16,4.90,4.95,4.74,4.83,21888496
9-Nov-16,4.70,4.85,4.69,4.80,10532560
8-Nov-16,4.78,4.85,4.75,4.83,3209334
7-Nov-16,4.83,4.84,4.79,4.82,4417911
4-Nov-16,4.72,4.76,4.68,4.70,4863900
3-Nov-16,4.78,4.82,4.76,4.79,7213939
2-Nov-16,4.76,4.78,4.71,4.73,7752038
1-Nov-16,4.88,4.90,4.75,4.79,7553589
31-Oct-16,4.88,4.90,4.84,4.84,5119146
28-Oct-16,4.87,4.90,4.84,4.86,5075014
27-Oct-16,4.89,4.91,4.87,4.90,5031934
26-Oct-16,4.81,4.84,4.77,4.79,5336917
25-Oct-16,4.78,4.80,4.74,4.77,5019570
24-Oct-16,4.84,4.85,4.81,4.84,7262925
21-Oct-16,4.64,4.67,4.62,4.67,10593580
20-Oct-16,4.61,4.68,4.61,4.64,10387548
19-Oct-16,4.53,4.58,4.53,4.56,2969675
18-Oct-16,4.49,4.49,4.45,4.48,3870368
17-Oct-16,4.39,4.41,4.36,4.38,2330671
14-Oct-16,4.39,4.43,4.36,4.36,2544606
13-Oct-16,4.27,4.30,4.23,4.28,2556396
12-Oct-16,4.40,4.43,4.38,4.40,1908558
11-Oct-16,4.42,4.45,4.36,4.38,4351871
10-Oct-16,4.43,4.46,4.41,4.42,3255420
7-Oct-16,4.45,4.46,4.38,4.43,4760016
6-Oct-16,4.56,4.58,4.50,4.54,5619658
5-Oct-16,4.44,4.51,4.42,4.49,7604853
4-Oct-16,4.40,4.42,4.34,4.39,6744621
3-Oct-16,4.40,4.43,4.38,4.41,2289317
30-Sep-16,4.29,4.43,4.28,4.41,7511356
29-Sep-16,4.42,4.44,4.19,4.27,10241757
28-Sep-16,4.41,4.43,4.35,4.43,4912528
27-Sep-16,4.30,4.36,4.28,4.35,4596136
26-Sep-16,4.35,4.38,4.33,4.33,5075146
23-Sep-16,4.41,4.44,4.40,4.43,4115397
22-Sep-16,4.61,4.63,4.54,4.57,3828864
21-Sep-16,4.43,4.51,4.42,4.51,4324281
20-Sep-16,4.36,4.36,4.30,4.32,3222790
19-Sep-16,4.38,4.39,4.32,4.33,2848942
16-Sep-16,4.33,4.35,4.31,4.33,4182237
15-Sep-16,4.39,4.47,4.38,4.47,5399599
14-Sep-16,4.41,4.47,4.38,4.40,4759971
13-Sep-16,4.52,4.55,4.44,4.47,5487035
12-Sep-16,4.53,4.66,4.53,4.65,16993503
9-Sep-16,4.73,4.75,4.63,4.65,15042009
8-Sep-16,4.69,4.75,4.66,4.73,8709103
7-Sep-16,4.62,4.64,4.60,4.61,3284178
6-Sep-16,4.64,4.65,4.55,4.57,3753934
2-Sep-16,4.54,4.58,4.50,4.56,4204522
1-Sep-16,4.55,4.58,4.47,4.52,6389802
31-Aug-16,4.47,4.51,4.44,4.48,7277302
30-Aug-16,4.37,4.40,4.35,4.37,3664369
29-Aug-16,4.29,4.32,4.29,4.32,2877097
26-Aug-16,4.35,4.40,4.26,4.31,5166948
25-Aug-16,4.32,4.34,4.30,4.32,2986866
24-Aug-16,4.32,4.35,4.31,4.32,3888228
23-Aug-16,4.26,4.28,4.25,4.26,4066794
22-Aug-16,4.12,4.17,4.10,4.16,2442171
19-Aug-16,4.10,4.15,4.08,4.15,4951796
18-Aug-16,4.18,4.23,4.17,4.21,3069466
17-Aug-16,4.23,4.25,4.18,4.23,3864224
16-Aug-16,4.30,4.32,4.28,4.28,3482969
15-Aug-16,4.28,4.31,4.26,4.28,3824346
12-Aug-16,4.29,4.30,4.26,4.29,3095349
11-Aug-16,4.27,4.30,4.26,4.28,3474807
10-Aug-16,4.31,4.31,4.25,4.26,4263698
9-Aug-16,4.21,4.26,4.21,4.21,3857515
8-Aug-16,4.19,4.21,4.16,4.19,6011526
5-Aug-16,4.07,4.14,4.07,4.13,5539839
4-Aug-16,4.02,4.06,4.00,4.02,8096875
3-Aug-16,3.91,3.98,3.89,3.98,8919682
2-Aug-16,3.99,3.99,3.93,3.95,12023045
1-Aug-16,4.18,4.18,4.09,4.11,6467610
29-Jul-16,4.24,4.26,4.20,4.24,5779817
28-Jul-16,4.15,4.15,4.11,4.13,7158408
27-Jul-16,4.28,4.31,4.21,4.25,7475914
26-Jul-16,4.13,4.16,4.11,4.13,5560451
25-Jul-16,4.19,4.20,4.14,4.14,3062077
22-Jul-16,4.29,4.30,4.22,4.25,5039926
21-Jul-16,4.27,4.32,4.20,4.23,6149667
20-Jul-16,4.17,4.21,4.14,4.20,5390957
19-Jul-16,4.15,4.18,4.11,4.14,7023384
18-Jul-16,4.18,4.26,4.14,4.21,3467550
15-Jul-16,4.27,4.28,4.19,4.22,3271726
14-Jul-16,4.23,4.27,4.21,4.26,8063476
13-Jul-16,4.22,4.24,4.12,4.13,7867114
12-Jul-16,4.21,4.23,4.17,4.21,9792267
11-Jul-16,3.96,3.99,3.94,3.96,9371526
8-Jul-16,3.92,3.93,3.84,3.90,7416009
7-Jul-16,3.75,3.79,3.70,3.73,7216310
6-Jul-16,3.71,3.78,3.63,3.78,18174729
5-Jul-16,3.85,3.86,3.74,3.74,7840925
1-Jul-16,3.94,3.96,3.89,3.91,16826861
30-Jun-16,3.81,3.93,3.75,3.92,16019140
29-Jun-16,3.90,3.91,3.86,3.89,14605419
28-Jun-16,3.80,3.86,3.72,3.84,21220602
27-Jun-16,3.70,3.71,3.60,3.69,21358636
24-Jun-16,3.71,3.93,3.70,3.83,79022719
23-Jun-16,4.73,4.80,4.66,4.80,9123200
22-Jun-16,4.59,4.62,4.52,4.53,6209067
21-Jun-16,4.48,4.57,4.44,4.54,6222302
20-Jun-16,4.47,4.49,4.41,4.41,6180934
17-Jun-16,4.27,4.35,4.25,4.34,6702221
16-Jun-16,4.04,4.20,3.99,4.19,7809405
15-Jun-16,4.13,4.19,4.10,4.11,7019084
14-Jun-16,4.14,4.19,4.05,4.09,9573865
13-Jun-16,4.20,4.26,4.17,4.17,8369719
10-Jun-16,4.40,4.41,4.29,4.32,6911135
9-Jun-16,4.61,4.63,4.56,4.59,4627761
8-Jun-16,4.64,4.67,4.61,4.63,2701243
7-Jun-16,4.66,4.71,4.66,4.66,3139418
6-Jun-16,4.58,4.64,4.58,4.60,6777450
3-Jun-16,4.64,4.64,4.54,4.59,8377191
2-Jun-16,4.68,4.72,4.66,4.71,6136191
1-Jun-16,4.63,4.68,4.60,4.67,4222816
31-May-16,4.84,4.86,4.71,4.75,5451085
27-May-16,4.89,4.93,4.84,4.86,2496352
26-May-16,4.89,4.91,4.82,4.85,3469802
25-May-16,4.87,4.95,4.86,4.94,5985869
24-May-16,4.58,4.67,4.58,4.66,3133066
23-May-16,4.55,4.58,4.53,4.55,2673299
20-May-16,4.63,4.67,4.59,4.62,4157984
19-May-16,4.64,4.69,4.57,4.60,5316219
18-May-16,4.59,4.69,4.57,4.66,6646365
17-May-16,4.60,4.63,4.55,4.56,5933765
16-May-16,4.55,4.62,4.55,4.59,2934589
13-May-16,4.57,4.64,4.50,4.52,5299660
12-May-16,4.63,4.66,4.54,4.60,5484360
11-May-16,4.58,4.65,4.56,4.60,4593741
10-May-16,4.57,4.65,4.55,4.65,3463169
9-May-16,4.61,4.62,4.48,4.51,6387379
6-May-16,4.56,4.68,4.55,4.64,3987799
5-May-16,4.63,4.66,4.56,4.58,7974354
4-May-16,4.68,4.73,4.63,4.66,7429189
3-May-16,4.85,4.85,4.76,4.79,4161472
2-May-16,5.03,5.04,4.97,5.02,3685034
29-Apr-16,5.14,5.17,5.01,5.03,6308642
28-Apr-16,5.11,5.22,5.10,5.16,9566913
27-Apr-16,5.14,5.22,5.14,5.19,5915802
26-Apr-16,5.08,5.11,5.05,5.11,5621822
25-Apr-16,4.93,4.94,4.86,4.90,5569279
22-Apr-16,4.96,5.01,4.96,5.01,5265978
21-Apr-16,5.00,5.03,4.93,4.95,11852790
20-Apr-16,4.85,4.89,4.81,4.86,15867630
19-Apr-16,4.71,4.75,4.68,4.73,6930547
18-Apr-16,4.57,4.65,4.55,4.63,4457275
15-Apr-16,4.58,4.60,4.53,4.55,2575959
14-Apr-16,4.56,4.60,4.53,4.57,7478206
13-Apr-16,4.52,4.56,4.49,4.56,7523377
12-Apr-16,4.25,4.30,4.16,4.27,6365893
11-Apr-16,4.29,4.30,4.20,4.21,4064028
8-Apr-16,4.14,4.18,4.11,4.13,3731215
7-Apr-16,4.07,4.10,3.98,4.00,4175621
6-Apr-16,4.11,4.14,4.08,4.14,5379180
5-Apr-16,4.15,4.15,4.10,4.10,8378328
4-Apr-16,4.28,4.34,4.24,4.26,5738022
1-Apr-16,4.30,4.34,4.27,4.33,4910183
31-Mar-16,4.41,4.45,4.35,4.36,4433795
30-Mar-16,4.50,4.55,4.44,4.45,4260593
29-Mar-16,4.42,4.48,4.39,4.47,5410099
28-Mar-16,4.49,4.49,4.44,4.46,1831299
24-Mar-16,4.41,4.48,4.39,4.42,11449405
23-Mar-16,4.58,4.59,4.49,4.49,3458440
22-Mar-16,4.61,4.67,4.59,4.64,6252082
21-Mar-16,4.76,4.79,4.70,4.71,7105080
18-Mar-16,4.83,4.86,4.74,4.79,8979007
17-Mar-16,4.72,4.79,4.65,4.77,4490432
16-Mar-16,4.62,4.72,4.61,4.71,4874211
15-Mar-16,4.79,4.82,4.73,4.76,8999195
14-Mar-16,4.98,4.99,4.92,4.96,6748518
11-Mar-16,4.84,4.94,4.80,4.93,11767333
10-Mar-16,4.69,4.80,4.54,4.62,11712785
9-Mar-16,4.54,4.55,4.44,4.49,4373942
8-Mar-16,4.58,4.60,4.50,4.52,7097827
7-Mar-16,4.45,4.51,4.42,4.49,4459460
4-Mar-16,4.48,4.53,4.44,4.50,5942940
3-Mar-16,4.38,4.45,4.34,4.45,3530546
2-Mar-16,4.25,4.38,4.24,4.38,11311091
1-Mar-16,4.04,4.17,4.02,4.16,5606473
29-Feb-16,4.01,4.05,3.98,3.99,3347303
26-Feb-16,4.00,4.01,3.95,3.97,4199507
25-Feb-16,3.87,3.89,3.83,3.86,4077652
24-Feb-16,3.79,3.83,3.74,3.80,6503385
23-Feb-16,4.02,4.04,3.92,3.93,6801839
22-Feb-16,3.96,4.03,3.95,4.02,3227065
19-Feb-16,3.84,3.90,3.79,3.86,6555195
18-Feb-16,4.11,4.11,3.94,3.95,5176497
17-Feb-16,4.08,4.18,4.07,4.17,6908197
16-Feb-16,4.02,4.03,3.93,3.99,3343229
12-Feb-16,3.82,3.88,3.76,3.88,4693476
11-Feb-16,3.78,3.80,3.69,3.74,5879606
10-Feb-16,3.94,4.02,3.87,3.92,5789281
9-Feb-16,3.75,3.86,3.73,3.82,8240440
8-Feb-16,3.96,3.97,3.85,3.90,7554793
5-Feb-16,4.16,4.19,4.10,4.12,5370686
4-Feb-16,3.91,4.10,3.91,4.07,4995610
3-Feb-16,3.85,3.87,3.70,3.86,8396997
2-Feb-16,3.97,3.98,3.84,3.85,10973033
1-Feb-16,4.13,4.14,4.07,4.12,4784832
29-Jan-16,4.14,4.20,4.11,4.19,4257015
28-Jan-16,4.17,4.17,4.05,4.12,5788894
27-Jan-16,4.19,4.26,4.16,4.17,5831712
26-Jan-16,4.19,4.30,4.17,4.29,6692435
25-Jan-16,4.17,4.18,4.11,4.12,5999576
22-Jan-16,4.33,4.35,4.26,4.32,4590027
21-Jan-16,4.09,4.18,4.03,4.12,6924292
20-Jan-16,4.11,4.14,3.98,4.06,10017797
19-Jan-16,4.28,4.30,4.17,4.21,5574306
15-Jan-16,4.34,4.38,4.27,4.30,4495720
14-Jan-16,4.40,4.48,4.34,4.47,6616979
13-Jan-16,4.52,4.53,4.33,4.36,5992047
12-Jan-16,4.54,4.54,4.40,4.48,5528034
11-Jan-16,4.47,4.47,4.37,4.43,7421151
8-Jan-16,4.47,4.48,4.27,4.29,11567318
7-Jan-16,4.45,4.50,4.42,4.42,6652661
6-Jan-16,4.50,4.54,4.47,4.51,7767427
5-Jan-16,4.69,4.71,4.63,4.70,7419400
4-Jan-16,4.79,4.80,4.70,4.79,8425224
31-Dec-15,4.93,4.93,4.87,4.87,4839956
30-Dec-15,4.98,5.01,4.95,4.95,6661881
29-Dec-15,4.98,5.01,4.96,5.01,5915735
28-Dec-15,5.04,5.05,4.96,4.99,5644743
24-Dec-15,5.07,5.13,5.07,5.10,2363054
23-Dec-15,5.00,5.08,4.98,5.07,8489654
22-Dec-15,4.90,4.94,4.87,4.93,4925419
21-Dec-15,4.91,4.94,4.81,4.85,8542278
18-Dec-15,5.06,5.06,4.99,5.00,5816478
17-Dec-15,5.18,5.18,5.10,5.11,5474154
16-Dec-15,5.12,5.15,5.03,5.15,7717760
15-Dec-15,4.98,5.03,4.98,5.01,6446382
14-Dec-15,4.96,5.00,4.85,4.89,6292542
11-Dec-15,5.05,5.06,4.95,4.97,7637777
10-Dec-15,5.08,5.13,5.06,5.08,7365224
9-Dec-15,5.11,5.22,5.08,5.11,13706319
8-Dec-15,5.11,5.14,5.06,5.08,7734250
